GEOID,sTract,Pct_ViolentCrime
14000US17031221100,221100,0.0010654
14000US17031221200,221200,0.0005577
14000US17031221300,221300,0.0034261
14000US17031221400,221400,0.0074366
14000US17031221500,221500,0.0046813
14000US17031221600,221600,0.0016681
14000US17031222200,222200,0.0025063
14000US17031222500,222500,0.0040783
14000US17031222600,222600,0.0029828
14000US17031222700,222700,0.0051569
14000US17031222800,222800,0.0130293
14000US17031222900,222900,0.0089606
14000US17031230100,230100,0.0048309
14000US17031230200,230200,0.0140713
14000US17031230300,230300,0.0080645
14000US17031230400,230400,0.0075453
14000US17031230500,230500,0.011102
14000US17031230600,230600,0.0114569
14000US17031230700,230700,0.0122487
14000US17031230800,230800,0.0053619
14000US17031230900,230900,0.008008
14000US17031231100,231100,0.0112821
14000US17031231200,231200,0.0178388
14000US17031231500,231500,0.0276419
14000US17031240200,240200,0.0029155
14000US17031240300,240300,0.0044248
14000US17031240500,240500,0.00187
14000US17031240600,240600,0.0020833
14000US17031240700,240700,0.0028986
14000US17031240800,240800,0.0071802
14000US17031240900,240900,0.0227766
14000US17031241000,241000,0.0070505
14000US17031241100,241100,0.0043464
14000US17031241200,241200,0.0017084
14000US17031241300,241300,0
14000US17031241400,241400,0.0033646
14000US17031241500,241500,0.0049373
14000US17031241600,241600,0.003853
14000US17031242000,242000,0.0040211
14000US17031242100,242100,0.0017065
14000US17031242200,242200,0.0008878
14000US17031242300,242300,0.0018513
14000US17031242400,242400,0.0042553
14000US17031242500,242500,0.0033475
14000US17031242600,242600,0.0064229
14000US17031242700,242700,0.0100287
14000US17031242800,242800,0.003647
14000US17031242900,242900,0.0016807
14000US17031243000,243000,0.0015674
14000US17031243100,243100,0.0023739
14000US17031243200,243200,0.0067319
14000US17031243300,243300,0.0033278
14000US17031243400,243400,0.0034043
14000US17031243500,243500,0.0014976
14000US17031250200,250200,0.0104019
14000US17031250300,250300,0.0135089
14000US17031250400,250400,0.0069641
14000US17031250500,250500,0.0012111
14000US17031250600,250600,0.007961
14000US17031250700,250700,0.0104461
14000US17031250800,250800,0.0186652
14000US17031251000,251000,0.02331
14000US17031251100,251100,0.0121387
14000US17031251200,251200,0.0125936
14000US17031251300,251300,0.0123327
14000US17031251400,251400,0.0081008
14000US17031251500,251500,0.0205638
14000US17031251600,251600,0.019822
14000US17031251700,251700,0.0334539
14000US17031251800,251800,0.0185087
14000US17031251900,251900,0.0230474
14000US17031252000,252000,0.0129776
14000US17031252101,252101,0.0091185
14000US17031252102,252102,0.0138447
14000US17031252201,252201,0.0106049
14000US17031252202,252202,0.0214331
14000US17031260100,260100,0.0258519
14000US17031260200,260200,0.0582524
14000US17031260300,260300,0.0297619
14000US17031260400,260400,0.0298137
14000US17031260500,260500,0.0287044
14000US17031260600,260600,0.0254777
14000US17031260700,260700,0.0260384
14000US17031260800,260800,0.0253573
14000US17031260900,260900,0.0186113
14000US17031261000,261000,0.0158917
14000US17031270500,270500,0.0249805
14000US17031271200,271200,0.0227066
14000US17031271300,271300,0.0206311
14000US17031271400,271400,0.0187431
14000US17031271500,271500,0.0224057
14000US17031271800,271800,0.1216216
14000US17031280100,280100,0.002689
14000US17031280400,280400,0.0169492
14000US17031280800,280800,0.0411985
14000US17031280900,280900,0.0147275
14000US17031281900,281900,0.0035626
14000US17031282700,282700,0.0138741
14000US17031282800,282800,0.0015106
14000US17031283100,283100,0.001396
14000US17031283200,283200,0.0105018
14000US17031283800,283800,0.0026155
14000US17031290900,290900,0.0208264
14000US17031291200,291200,0.0273301
14000US17031291600,291600,0.006105
14000US17031292200,292200,0.015859
14000US17031292400,292400,0.0168067
14000US17031292500,292500,0.0111386
14000US17031300500,300500,0.0073059
14000US17031300600,300600,0.0054829
14000US17031300700,300700,0.0027091
14000US17031300800,300800,0.0072765
14000US17031300900,300900,0.0092025
14000US17031301100,301100,0.0064065
14000US17031301200,301200,0.0025413
14000US17031301600,301600,0.0050872
14000US17031301701,301701,0.0041929
14000US17031301702,301702,0.0051161
14000US17031301801,301801,0.0047431
14000US17031301802,301802,0.0129534
14000US17031301803,301803,0.0048892
14000US17031310200,310200,0.0033278
14000US17031310300,310300,0.0046368
14000US17031310400,310400,0.0045496
14000US17031310500,310500,0.0075251
14000US17031310600,310600,0.005248
14000US17031310700,310700,0.0045752
14000US17031310800,310800,0.0038272
14000US17031310900,310900,0.0071751
14000US17031320100,320100,0.002905
14000US17031320400,320400,0.0250896
14000US17031320600,320600,0.0044108
14000US17031330100,330100,0.0016525
14000US17031330200,330200,0.0044551
14000US17031340300,340300,0.0005903
14000US17031340400,340400,0
14000US17031340500,340500,0.0038885
14000US17031340600,340600,0.0266497
14000US17031350400,350400,0.0335917
14000US17031351000,351000,0.002999
14000US17031351100,351100,0.0105263
14000US17031351400,351400,0.0171017
14000US17031351500,351500,0.0410959
14000US17031360200,360200,0.0133531
14000US17031380100,380100,0.0118913
14000US17031380200,380200,0.0028653
14000US17031380500,380500,0.0465116
14000US17031380700,380700,0.0073529
14000US17031381200,381200,0.0125549
14000US17031381400,381400,0.0224331
14000US17031381500,381500,0.017341
14000US17031381800,381800,0.0339734
14000US17031381900,381900,0.0119826
14000US17031390100,390100,0.0036934
14000US17031390200,390200,0.0140751
14000US17031390300,390300,0.0082645
14000US17031390400,390400,0.0080372
14000US17031390500,390500,0.0045627
14000US17031390600,390600,0.0031888
14000US17031390700,390700,0.001208
14000US17031400300,400300,0.023569
14000US17031400400,400400,0.0250232
14000US17031400500,400500,0.023053
14000US17031400800,400800,0.0413961
14000US17031410100,410100,0.0013158
14000US17031410200,410200,0.0031546
14000US17031410500,410500,0.0036463
14000US17031410600,410600,0.0010858
14000US17031410700,410700,0.0011186
14000US17031410800,410800,0.0025985
14000US17031410900,410900,0.002442
14000US17031411000,411000,0.001676
14000US17031411100,411100,0.0006013
14000US17031411200,411200,0.0014859
14000US17031420100,420100,0.0140998
14000US17031420200,420200,0.0101902
14000US17031420300,420300,0.0044978
14000US17031420400,420400,0.0072522
14000US17031420500,420500,0.0200118
14000US17031420600,420600,0.0347271
14000US17031420700,420700,0.0414444
14000US17031420800,420800,0.0229358
14000US17031421200,421200,0.0202922
14000US17031430101,430101,0.013289
14000US17031430102,430102,0.0059618
14000US17031430200,430200,0.0127061
14000US17031430300,430300,0.02457
14000US17031430400,430400,0.02287
14000US17031430500,430500,0.0180839
14000US17031430600,430600,0.0071656
14000US17031430700,430700,0.0082559
14000US17031430800,430800,0.0049659
14000US17031430900,430900,0.017301
14000US17031431200,431200,0.0106564
14000US17031431301,431301,0.0342975
14000US17031431302,431302,0.0344978
14000US17031431400,431400,0.0127902
14000US17031440101,440101,0.0246034
14000US17031440102,440102,0.0129179
14000US17031440201,440201,0.0108388
14000US17031440202,440202,0.0089702
14000US17031440300,440300,0.00522
